Excitatory	Astrocytes	Inhibitory	Oligodendrocytes	Microglia	OPC	L5-6-CC	L2-3	AST-PP	IN-SST	IN-VIP	IN-PV	L4	AST-FB	IN-SV2C	L5-6
KHDRBS1	-0.0547688670944567	0.0961750934599017	0	0	0.192623849391174	0	0.0906688796630131	-0.0533720091225518	0.100072917022319	0	-0.0724622947321395	0	0	0.184792273143287	0	0
KHDRBS2	0.215910735799295	0.178605396663646	0.0712680583440553	0	0.248906727041935	-0.104037282204746	-0.606860875755026	0.0626287082835422	0	-0.160702220374064	-0.449350831817309	-0.197065019459402	-0.556910507755689	-0.137733971737315	-0.111306447266483	-0.50500456433114
KHDRBS3	0.0877408249089817	0.0957192130540451	0.0818871698186583	0	-0.698525484524163	0	-0.399056705249632	0	0	0.270661260181724	0	-0.064738645321115	-0.260226952019444	0	-0.262371275833801	-0.25171693487308
KHSRP	-0.0549943630894207	0	0	0	0	0	-0.0716454358791821	-0.0918875236255341	-0.0524991023730964	0	0	-0.0527904978307244	0	0.110940976846338	0	0
KRR1	0	-0.0516465862795432	0	0	0	0	0.237984647943149	0.159643859334845	0	0.0961829296120955	0.109481686863428	0.155811610480763	0.144925557454452	0	0.12021637900905	0.160574654331083
LARP1	-0.0784916607486488	0	-0.11396123795439	0	-0.0643732179910234	0	-0.21638955223159	-0.136616724319438	0	-0.112867334694978	-0.263657172488839	-0.175733618648684	0	-0.118584520028389	-0.195722474729789	-0.118643676621903
LARP1B	-0.102810803920663	-0.101780391126682	-0.116831091377686	0	0.134576784186434	0	-0.111664937433874	-0.289612156323498	-0.157236940869221	-0.22709766368169	-0.109588907177378	-0.152120209164188	-0.129806186245056	0.0858703450863836	-0.0974920047335461	-0.233569063852107
LARP4	0	0	0	0	0.208580986634785	0.0662191450428825	0	-0.115229011849013	0	0	0	0	0	0	0	0
LARP4B	0	0.0713856953024194	0.05506722711511	-0.0813416892745857	0	0	-0.0872291749056904	-0.0826293891129432	0.0536156807931967	0.0591627445256349	0	0.0633090750068208	0	0.136491959632796	0.0730910309832653	0
LARP6	0	-0.0545302122851961	0	-0.169555521054158	0	0	0.0627990028701846	0.0607520385456757	0	0	0	0.0570521883862869	0.143833864359435	-0.143019217605429	0	0
LARP7	-0.0625473109763087	0.0571844550737534	-0.0579979487335822	0.125916351208037	0.0602201561622902	0	0.0555912450760643	0	0.123000944028852	-0.13901082764339	0	0	0	0.0832902761826497	0	0
LIN28B	0.154061715995181	0	0	0	0	0	0.121474096794365	0.209852912584977	0	0	0.0690349634393903	0	0.175297790564481	0	0	0.16620947262719
MBNL1	0.209305619747507	0.0808253064001381	0	0.242697070068838	0	0.134130692148882	0.0922303119493777	0.347361291635835	0.0946104304885278	0	0	0.0811605916372613	0.120155431477619	0.253496218216959	0.060721737802172	0.338499825578856
MBNL2	0	0.081368758090453	0.0706783626315468	-0.163270712547088	0.387652944143248	0	-0.123059124440061	0	0	0	0.0801576653662469	0.0777234319325579	0	0	0	0
MBNL3	0	-0.113936087281029	0	0	-0.163057613080445	0	0	0	-0.139986155405621	0	0	0	0	0	0	0
MDM2	0	0.0626497534469702	0	0	-0.161738584290052	0.104847630516676	-0.0502076471595791	0	0.0790368664925665	0	0	0	0.0834872766129884	0.471469755654254	0	0
MKRN1	0	0	0.0619496032503503	0	-0.076124714971453	0.060855124347644	0.10140411308547	0.0518279390247525	0	0.102768370802221	0.11474939552925	0.121348296152365	0.189665455774802	-0.131102531477578	0.103409187921265	0.122665932256244
MKRN2	0	0	0	0	0.0563012921026178	0	0.169255775980342	0.0684123079496581	0	0	0	0.0872994283613445	0	0	0	0
MKRN3	0	-0.439245184427692	0	-0.385648923870969	0	-0.264691092970966	0	0	-0.536678704146724	0	0	0	0	-0.37651965983782	0	0
MRPS28	-0.0559101399684571	0	-0.0869272550071108	0	-0.315864914355858	-0.113344136884095	0.110828954560943	-0.135004557819143	-0.0614264989609052	-0.0513717122234356	-0.132458456469541	-0.092381512589958	-0.0607705153406179	-0.107029022618611	-0.0916530687645786	-0.0604757402235577
MSI1	0	-0.0969377458071509	0	0	0	0	0	0	-0.125810797724078	0	0	0	0	-0.230272446540104	0	0
MSI2	0	-0.174837615204177	0	0.299663425508707	-0.195945144939102	-0.0631852273790194	0.223089083708728	-0.226195374883256	-0.224830967550627	-0.158579572601369	-0.112724495704313	-0.222434709653426	-0.0644470347125705	-0.391025292262398	-0.0539270436116728	0.18930715485821
MTHFSD	0	0	0	0	0	0	0	-0.0653601217875326	-0.0514706089847114	0	-0.0565423880597608	-0.0684595047730703	0	-0.081733939117592	0	0
MYEF2	-0.0767711893738108	0	0	-0.0560533551856222	0	0.0626417155720616	0	0	-0.0524148445429276	0	0	0	0	0.051370646934414	0	-0.0826352318930046
NCBP2	0	0	0	0	0	0	0.139855191956488	0.0816214855714824	0	0.0718227266046886	0.092522042471969	0.108797665161739	0.129500298780903	-0.085679874030163	0.0894402168603707	0.0977222608954392
NCL	-0.0914444468236803	-0.0621140243869181	0	-0.174194503731504	-0.12831737481846	-0.0652441329434862	0.234583264729961	-0.0808843707683677	-0.070359326999531	-0.0687557869440011	0.0915437919174582	0	0.17497836566138	-0.354971337066617	0	0
NOL8	0	0	0	0	-0.0999763056215925	0	0.0658324056482323	-0.0711815645512895	0	-0.127726730124828	-0.052844442999197	0	0	-0.202062044693347	0	0
NONO	-0.0882467572862051	0	0	0	0	0.0613545506223974	0	0	0	0	0	0.0843310269140136	0	-0.157368936463469	0	0
NOVA1	-0.071120765791318	-0.228721049230187	0	0.0545593903703785	0.0775616150073981	0	-0.188935648657263	0.154887411529945	-0.244396723839965	0.174559420563327	0.278293760276401	0	-0.245731045130911	-0.369191245245712	-0.0960538200989685	0.0521330270860945
NOVA2	-0.0690594316032922	0	0	0	0	0	0	-0.155074332436195	0	0	0	-0.0612756597647784	-0.0699386987366553	-0.0599355751987683	-0.0959143907426153	0
NPLOC4	0	0.0607589899750923	0	0	0	0	0.0897998697575566	0	0.0546568937102111	0.0573537171051571	0.0599276253410562	-0.0801216102114269	0.0918081938234153	-0.0622578969644016	0.166677428724292	0.107344985678576
NUP153	-0.078805062317341	0	0	-0.053188788607899	-0.0667878195702715	0.0542780874620017	0.0821291827616959	-0.162206190314899	0	0	0	-0.0723209081181749	0	-0.105740795525324	-0.08516997487089	0
PABPC1	0	-0.100475773529108	0	0.0826847823776995	-0.214705640396633	0.0776632624791959	0	0.130869177478157	-0.098928777934624	0.127268894348835	0.117397200038	0.152937285293116	0.0574251888463917	0	0.100112061188648	0.0804372794310909
PABPC1L	0	0	0	0	0	-0.0943810385817626	0	0	0	0	0	0	0.0913459946379988	-0.241045080718331	0	0.056894198816544
PABPC4	-0.0751648431332246	-0.0761055076042407	-0.0531575797779847	0	-0.312174105304552	0	0	-0.0831888363338878	-0.0665897838727413	0	0	-0.0570523308988127	0	0	0	-0.0522716839160755
PABPN1	-0.159877034561808	-0.294294497508845	-0.0662542052267544	0	0	0.0681123474265883	0	-0.128180473200429	-0.302011107800116	0	0	0	0	-0.490725614813874	0	0
PAN3	-0.0646279824939036	-0.166598660292704	-0.126917546270358	-0.153057423581115	-0.206144877377868	-0.0661151532885245	-0.253686573405024	-0.157411963509955	-0.209583181688408	-0.138199413102289	-0.0953652387764399	-0.0982666117898443	-0.0921077135637185	-0.210614223104745	-0.141753182007691	-0.208074207500375
PARP12	0	0	0	0	0.0875229510363729	-0.253942192139486	0	0	0	0	-0.0637919548555822	0	0	0	-0.0567227671131831	0
PCBP1	-0.0877961076109068	0	0	0.0794142906267561	0.136348394873346	0	0.0640575922317992	0.0761681752170253	0.0583100339155208	0.108796637773453	0.108182522914118	0	0	0.214356787519629	0.0709522394907537	0.130266707197003
PCBP2	-0.205653510326426	0	-0.0828618253235552	0.105268288868103	-0.152065438479708	0	-0.135654145223751	-0.183313569110617	0	0	-0.0517516655464076	0	-0.145736411700131	0	0	0
PCBP3	0	-0.0645269812920387	0.059173736474487	-0.140706501447393	-0.143744801362352	-0.131664473381007	0	0.0553795411841207	-0.0868659147586708	0	-0.0792880199527157	0	-0.0545103879626726	-0.288764200595614	-0.0529466006133477	-0.23831942275793
PCBP4	0	0	0	0	0	0	0.0890571665674303	0	0	0.10633304721132	0	0	0	-0.221415132720735	0	0
PDCD11	0	0	-0.0528937193439559	0	0	0	0	-0.0657092600144948	0	-0.0860964792748439	0	-0.0740287648800028	0	-0.193514043745437	0	0.0611858867015835
PEG10	-0.297195348359271	-0.0694052984692556	-0.184339691561136	0	0	-0.0850600772161885	-0.277400173515621	-0.100217900191269	0	0	-0.0524964760080011	-0.0706906580146484	-0.0697909101681077	-0.154774081075205	-0.084827362045265	0.0937658232910694
PNO1	0	0	0	0	0	0	0	0	0	0	0	0	0.0995398417032471	0	0	0
PNPT1	0	-0.153675846477017	0	0	0	-0.321431869157368	-0.0582133953917514	0	-0.139236738185039	0.0583587316119884	0	0.0662987947897379	0.0798895720790171	-0.0965586490621928	0.111856044859066	0
POLDIP3	0	0.0889163891867909	0	0.112653811184584	0	0.0627953868109924	0	0	0.100415901594668	0	0.074536653826266	0	0	0.231765199943312	0	0
POLR2G	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.135682384113984	0	0
PPARGC1A	-0.204503183931955	-0.129593377218577	0.160202760350533	0	0	0.204617491349504	0	-0.169047628940498	-0.126855536401216	0.125352328472832	-0.06959606838607	0.0936882363061806	-0.28841099612946	0	-0.0696451385304667	0.149949818543789
PPARGC1B	0	0	-0.0731089092409904	0	-0.142927365530725	0	0	-0.143162287981323	0	-0.149831083736702	-0.154252191648666	-0.180747817859398	0	0	-0.165816274762554	-0.077410120087318
PPIE	0	-0.0850075983632061	0	-0.0595886093697457	0	0	0.145497089864294	0	-0.0767243617249092	-0.0602600836817458	0.0654982416711782	0	0.104594971083899	-0.365114513776	0	0
PPIL4	0	0	0	0	0	0	0.291857760603775	0.184240449273431	0	0.0922416051986651	0.121513233131415	0	0.211947780560066	0.176396415116333	0.160956458866949	0.114193439839617
PPP1R10	0	0	0	0.0921246979163092	-0.174344344910315	0	0.103123455244782	0.0560667571610123	0.0842724361429037	0	0	0	0	0.1537034787078	0.0774116719377532	0.0606812035523769
PPRC1	0	0	0	0	0.0709494468153134	0	0	0	0	0	0	0	0	0.0896762895122143	0	0
PRR3	0	0	0.056116968150424	0	0	0	0.0784420475758911	0.106535838248952	0	0	0.106406780243015	0.109160606239042	0.153892846705763	-0.104342145448744	0.119760900026804	0.0832051397102069
PSPC1	0	0	-0.0586984179159815	-0.0908250527661569	-0.179228347656402	0	-0.115515100223888	-0.138152948827701	0	-0.0955131565001102	-0.131595206822627	-0.115452987803278	-0.172473601181701	-0.115736032681403	-0.072537649017971	0
PTBP1	0	0	0	0.0637335478045107	0.0872381547588255	0	0.0500272795885785	0	-0.0687674189949781	0.100659183366361	0	0.0583126288311371	0.0692919405582574	0.202144159253502	0.0537871081814063	0.055269522080906
PTBP2	0	-0.0590780750648208	-0.0926718221875438	-0.317723095684131	-0.119286958877356	0	0	0	-0.066565534447119	0	-0.0580658836382086	-0.179758820994935	0.0554347052774775	-0.260235194579661	0	-0.11947902535745
