"","Oligodendrocytes_vs_OPC","Oligodendrocytes_vs_Astrocytes","Oligodendrocytes_vs_Microglia","Oligodendrocytes_vs_Endothelial","Oligodendrocytes_vs_Excitatory","Oligodendrocytes_vs_Inhibitory","OPC_vs_Oligodendrocytes","OPC_vs_Astrocytes","OPC_vs_Microglia","OPC_vs_Endothelial","OPC_vs_Excitatory","OPC_vs_Inhibitory","Astrocytes_vs_Oligodendrocytes","Astrocytes_vs_OPC","Astrocytes_vs_Microglia","Astrocytes_vs_Endothelial","Astrocytes_vs_Excitatory","Astrocytes_vs_Inhibitory","Microglia_vs_Oligodendrocytes","Microglia_vs_OPC","Microglia_vs_Astrocytes","Microglia_vs_Endothelial","Microglia_vs_Excitatory","Microglia_vs_Inhibitory","Endothelial_vs_Oligodendrocytes","Endothelial_vs_OPC","Endothelial_vs_Astrocytes","Endothelial_vs_Microglia","Endothelial_vs_Excitatory","Endothelial_vs_Inhibitory","Excitatory_vs_Oligodendrocytes","Excitatory_vs_OPC","Excitatory_vs_Astrocytes","Excitatory_vs_Microglia","Excitatory_vs_Endothelial","Excitatory_vs_Inhibitory","Inhibitory_vs_Oligodendrocytes","Inhibitory_vs_OPC","Inhibitory_vs_Astrocytes","Inhibitory_vs_Microglia","Inhibitory_vs_Endothelial","Inhibitory_vs_Excitatory"
"HNRNPAB",0,0,-0.0254786697148988,0,-0.074636316059272,-0.0497520915360876,0,0,-0.0230325381271543,0,-0.0721901844715276,-0.0473059599483432,0,0,-0.0276891960490222,0,-0.0768468423933955,-0.0519626178702111,0.0254786697148988,0.0230325381271543,0.0276891960490222,0,-0.0491576463443733,-0.0242734218211889,0,0,0,0,-0.0827573439427471,0,0.074636316059272,0.0721901844715276,0.0768468423933955,0.0491576463443733,0.0827573439427471,0.0248842245231844,0.0497520915360876,0.0473059599483432,0.0519626178702111,0.0242734218211889,0,-0.0248842245231844
"HNRNPC",-0.147240228679858,-0.200564429132083,-0.0693082038547321,0,-0.977669734642669,-0.458944902069268,0.147240228679858,-0.0533242004522245,0,0,-0.830429505962811,-0.31170467338941,0.200564429132083,0.0533242004522245,0.131256225277351,0,-0.777105305510586,-0.258380472937185,0.0693082038547321,0,-0.131256225277351,0,-0.908361530787937,-0.389636698214536,0,0,0,0,-0.83792877195864,0,0.977669734642669,0.830429505962811,0.777105305510586,0.908361530787937,0.83792877195864,0.518724832573401,0.458944902069268,0.31170467338941,0.258380472937185,0.389636698214536,0,-0.518724832573401
"HNRNPCL1",0,0,0,0,0,-0.000145572376984981,0,0,0,0,0,-0.000145572376984981,0,0,0,0,0,-0.000145572376984981,0,0,0,0,0,-0.000145572376984981,0,0,0,0,0,0,0,0,0,0,0,-0.000145572376984981,0.000145572376984981,0.000145572376984981,0.000145572376984981,0.000145572376984981,0,0.000145572376984981
"HNRNPH2",0.00136835595736606,0,0,0,-0.247892775883275,0,-0.00136835595736606,0,-0.00831133536438644,0,0,-0.156390861765092,0,0,-0.0156902872239386,0,0,-0.163769813624644,0,0.00831133536438644,0.0156902872239386,0,-0.240949796476254,0,0,0,0,0,0,0,0.247892775883275,0,0,0.240949796476254,0,0.092870270075549,0,0.156390861765092,0.163769813624644,0,0,-0.092870270075549
"HNRNPK",-0.085317318934425,0.0168114230393599,0.143805603622924,0,-0.402541524436381,-0.232227792791791,0.085317318934425,0.102128741973785,0.229122922557349,0,-0.317224205501956,0,-0.0168114230393599,-0.102128741973785,0.126994180583564,0,-0.41935294747574,-0.249039215831151,-0.143805603622924,-0.229122922557349,-0.126994180583564,0,-0.546347128059305,-0.376033396414715,0,0,0,0,0,0,0.402541524436381,0.317224205501956,0.41935294747574,0.546347128059305,0,0,0.232227792791791,0,0.249039215831151,0.376033396414715,0,0
"HNRNPL",0.00963323280453476,0,0.0995909886459871,0,-0.386820353788759,-0.185027239576393,-0.00963323280453476,0,0,0,-0.396453586593294,-0.194660472380928,0,0,0.100424882965098,0,-0.385986459469648,-0.184193345257282,-0.0995909886459871,0,-0.100424882965098,0,-0.486411342434746,-0.28461822822238,0,0,0,0,0,0,0.386820353788759,0.396453586593294,0.385986459469648,0.486411342434746,0,0.201793114212366,0.185027239576393,0.194660472380928,0.184193345257282,0.28461822822238,0,-0.201793114212366
"HNRNPLL",-0.18336183176338,-0.113056980914275,0,0,-0.964814274971198,-0.348923501390697,0.18336183176338,0.0703048508491049,0.167744689533654,0,-0.781452443207818,-0.165561669627318,0.113056980914275,-0.0703048508491049,0.0974398386845494,0,-0.851757294056923,-0.235866520476423,0,-0.167744689533654,-0.0974398386845494,0,-0.949197132741472,-0.333306359160972,0,0,0,0,-0.892165624809991,0,0.964814274971198,0.781452443207818,0.851757294056923,0.949197132741472,0.892165624809991,0.6158907735805,0.348923501390697,0.165561669627318,0.235866520476423,0.333306359160972,0,-0.6158907735805
"HNRNPR",-0.145116224847722,0.0361491817024282,0.124136673519045,0.1585533285684,-0.507802318880969,-0.241628243003339,0.145116224847722,0.18126540655015,0.269252898366766,0.303669553416122,-0.362686094033247,0,-0.0361491817024282,-0.18126540655015,0.0879874918166164,0,-0.543951500583397,-0.277777424705767,-0.124136673519045,-0.269252898366766,-0.0879874918166164,0,-0.631938992400014,-0.365764916522384,-0.1585533285684,-0.303669553416122,0,0,-0.666355647449369,-0.400181571571739,0.507802318880969,0.362686094033247,0.543951500583397,0.631938992400014,0.666355647449369,0.26617407587763,0.241628243003339,0,0.277777424705767,0.365764916522384,0.400181571571739,-0.26617407587763
"IGF2BP2",-0.0703089989799448,-0.0431871227106886,0,0,-0.0121711966146494,-0.00877932209489529,0.0703089989799448,0,0,0,0.0581378023652954,0.0615296768850495,0.0431871227106886,0,0,0,0.0310159260960392,0.0344078006157933,0,0,0,0,-0.011207374816125,-0.0078155002963709,0,0,0,0,0.112764052072688,0.116155926592443,0.0121711966146494,-0.0581378023652954,-0.0310159260960392,0.011207374816125,-0.112764052072688,0.00339187451975409,0.00877932209489529,-0.0615296768850495,-0.0344078006157933,0.0078155002963709,-0.116155926592443,-0.00339187451975409
"IGF2BP3",0,0,-0.032268894125963,0,-0.0373995390321293,-0.169753608127978,0,0,-0.0251465335822352,0,-0.0302771784884015,-0.16263124758425,0,0,-0.0149987842442354,0,-0.0201294291504017,0,0.032268894125963,0.0251465335822352,0.0149987842442354,0,-0.00513064490616633,0,0,0,0,0,-0.0416091565608534,0,0.0373995390321293,0.0302771784884015,0.0201294291504017,0.00513064490616633,0.0416091565608534,-0.132354069095849,0.169753608127978,0.16263124758425,0,0,0,0.132354069095849
"KHDRBS1",0,0,0,0,-0.640232545526534,-0.340824500791272,0,0,0,0,-0.617226612806826,-0.317818568071564,0,0,0,0,-0.632515878747223,-0.333107834011961,0,0,0,0,-0.65923970056724,-0.359831655831978,0,0,0,0,-0.649901568548054,-0.350493523812792,0.640232545526534,0.617226612806826,0.632515878747223,0.65923970056724,0.649901568548054,0.299408044735262,0.340824500791272,0.317818568071564,0.333107834011961,0.359831655831978,0.350493523812792,-0.299408044735262
"KHDRBS2",-0.631265802273148,0.138251578709826,0.110313387838536,-0.708425115981347,-4.27285168170737,-2.54895296755211,0.631265802273148,0.769517380982975,0.741579190111684,-0.077159313708199,-3.64158587943422,-1.91768716527897,-0.138251578709826,-0.769517380982975,-0.0279381908712901,-0.846676694691173,-4.4111032604172,-2.68720454626194,-0.110313387838536,-0.741579190111684,0.0279381908712901,-0.818738503819883,-4.38316506954591,-2.65926635539065,0.708425115981347,0.077159313708199,0.846676694691173,0.818738503819883,-3.56442656572602,-1.84052785157077,4.27285168170737,3.64158587943422,4.4111032604172,4.38316506954591,3.56442656572602,1.72389871415526,2.54895296755211,1.91768716527897,2.68720454626194,2.65926635539065,1.84052785157077,-1.72389871415526
"KHDRBS3",-1.81949315188428,0.184192178406461,-0.576397815838336,-0.23409901441445,-3.59169552802598,-1.15241592351825,1.81949315188428,2.00368533029074,1.24309533604595,1.58539413746983,-1.7722023761417,0.667077228366034,-0.184192178406461,-2.00368533029074,-0.760589994244796,-0.418291192820911,-3.77588770643244,-1.33660810192471,0.576397815838336,-1.24309533604595,0.760589994244796,0.342298801423886,-3.01529771218765,-0.576018107679911,0.23409901441445,-1.58539413746983,0.418291192820911,-0.342298801423886,-3.35759651361153,-0.918316909103796,3.59169552802598,1.7722023761417,3.77588770643244,3.01529771218765,3.35759651361153,2.43927960450774,1.15241592351825,-0.667077228366034,1.33660810192471,0.576018107679911,0.918316909103796,-2.43927960450774
"LIN28A",0,0,0,0,-0.00366949169420372,-0.000885491607564459,0,0,0.00130294127523523,0,-0.00260798945063101,0.00017601063600825,0,0,0,0,-0.00272080043676448,6.31996498747789e-05,0,-0.00130294127523523,0,0,-0.00391093072586624,-0.00112693063922698,0,0,0,0,-0.00438448892505972,0,0.00366949169420372,0.00260798945063101,0.00272080043676448,0.00391093072586624,0.00438448892505972,0.00278400008663926,0.000885491607564459,-0.00017601063600825,-6.31996498747789e-05,0.00112693063922698,0,-0.00278400008663926
"MATR3",0.00378369539487555,0.0198303695298163,0,0,-0.0992622803078977,-0.0329482212663126,-0.00378369539487555,0,0,0,-0.103045975702773,-0.0367319166611881,-0.0198303695298163,0,0,0,-0.119092649837714,-0.0527785907961289,0,0,0,0,-0.117982817960558,-0.0516687589189726,0,0,0,0,0,0,0.0992622803078977,0.103045975702773,0.119092649837714,0.117982817960558,0,0.0663140590415852,0.0329482212663126,0.0367319166611881,0.0527785907961289,0.0516687589189726,0,-0.0663140590415852
"MBNL1",0.172227151524018,-0.05981644034186,-0.404815939158933,0,-1.32410304121149,-0.101048963129854,-0.172227151524018,-0.232043591865878,-0.577043090682951,-0.219559593133085,-1.49633019273551,-0.273276114653872,0.05981644034186,0.232043591865878,-0.344999498817073,0,-1.26428660086963,-0.0412325227879942,0.404815939158933,0.577043090682951,0.344999498817073,0.357483497549866,-0.919287102052559,0.303766976029079,0,0.219559593133085,0,-0.357483497549866,-1.27677059960243,-0.0537165215207871,1.32410304121149,1.49633019273551,1.26428660086963,0.919287102052559,1.27677059960243,1.22305407808164,0.101048963129854,0.273276114653872,0.0412325227879942,-0.303766976029079,0.0537165215207871,-1.22305407808164
"MSI1",-0.0673775020264726,-0.172785958013947,0,0,-0.0358459832260711,-0.0401215145356402,0.0673775020264726,-0.105408455987474,0,0,0.0315315188004015,0.0272559874908325,0.172785958013947,0.105408455987474,0.172992622061796,0,0.136939974787876,0.132664443478307,0,0,-0.172992622061796,0,-0.0360526472739207,-0.0403281785834897,0,0,0,0,0.0391108443801143,0.0348353130705452,0.0358459832260711,-0.0315315188004015,-0.136939974787876,0.0360526472739207,-0.0391108443801143,-0.00427553130956904,0.0401215145356402,-0.0272559874908325,-0.132664443478307,0.0403281785834897,-0.0348353130705452,0.00427553130956904
"NAB2",0,-0.037683400513387,0,0,-0.158695385293357,-0.0671890759803409,0,-0.0238840262904609,-0.00253851003324024,0,-0.144896011070431,-0.0533897017574148,0.037683400513387,0.0238840262904609,0,0,-0.12101198477997,-0.0295056754669538,0,0.00253851003324024,0,0,-0.142357501037191,-0.0508511917241745,0,0,0,0,0,0,0.158695385293357,0.144896011070431,0.12101198477997,0.142357501037191,0,0.0915063093130164,0.0671890759803409,0.0533897017574148,0.0295056754669538,0.0508511917241745,0,-0.0915063093130164
"PABPC1",-0.0694451815865149,0,-0.269331024036582,-0.188072657211186,-0.877744620325078,-0.370791127293828,0.0694451815865149,0.0689789070572882,-0.199885842450067,-0.118627475624671,-0.808299438738563,-0.301345945707313,0,-0.0689789070572882,-0.268864749507356,-0.18760638268196,-0.877278345795852,-0.370324852764601,0.269331024036582,0.199885842450067,0.268864749507356,0,-0.608413596288496,-0.101460103257246,0.188072657211186,0.118627475624671,0.18760638268196,0,-0.689671963113892,0,0.877744620325078,0.808299438738563,0.877278345795852,0.608413596288496,0.689671963113892,0.50695349303125,0.370791127293828,0.301345945707313,0.370324852764601,0.101460103257246,0,-0.50695349303125
"PABPC3",0,0,0,0,-0.000328022131393713,0.000448544962888375,0,0,0,0,0.0010460846828193,0.00182265177710139,0,0,0,0,0.00401927002685709,0.00479583712113918,0,0,0,0,-0.00179526540525399,-0.0010186983109719,0,0,0,0,-0.00179526540525399,0,0.000328022131393713,-0.0010460846828193,-0.00401927002685709,0.00179526540525399,0.00179526540525399,0.000776567094282088,-0.000448544962888375,-0.00182265177710139,-0.00479583712113918,0.0010186983109719,0,-0.000776567094282088
"PABPC4",0.00977984979137125,0,-0.0302535753791422,0,-0.133868426098945,-0.0621159524692643,-0.00977984979137125,-0.030866198653827,-0.0400334251705134,0,-0.143648275890316,0,0,0.030866198653827,0,0,-0.112782077236489,-0.0410296036068085,0.0302535753791422,0.0400334251705134,0,0,-0.103614850719803,-0.0318623770901221,0,0,0,0,-0.0789319771735832,0,0.133868426098945,0.143648275890316,0.112782077236489,0.103614850719803,0.0789319771735832,0.0717524736296808,0.0621159524692643,0,0.0410296036068085,0.0318623770901221,0,-0.0717524736296808
"PABPC5",0,0,0,0,-0.040595815839201,-0.0149915398731952,0,0,0,0,-0.000863189694579658,0.0247410862714261,0,0,0,0,-0.0485846196505493,-0.0229803436845435,0,0,0,0,-0.0606953854230539,-0.0350911094570481,0,0,0,0,-0.06211559394551,0,0.040595815839201,0.000863189694579658,0.0485846196505493,0.0606953854230539,0.06211559394551,0.0256042759660058,0.0149915398731952,-0.0247410862714261,0.0229803436845435,0.0350911094570481,0,-0.0256042759660058
"PABPN1",-0.153104624590397,-0.0917606133274407,0,0,-0.499819987486365,-0.307999711634636,0.153104624590397,0,0.179982764746056,0,-0.346715362895969,0,0.0917606133274407,0,0.1186387534831,0,-0.408059374158925,-0.216239098307195,0,-0.179982764746056,-0.1186387534831,0,-0.526698127642024,-0.334877851790295,0,0,0,0,0,0,0.499819987486365,0.346715362895969,0.408059374158925,0.526698127642024,0,0.19182027585173,0.307999711634636,0,0.216239098307195,0.334877851790295,0,-0.19182027585173
